Accession	Description	Coverage.in.Percent	Number.of.Peptides	Number.of.PSMs	Number.of.Unique.Peptides	log2FC_t3	log2FC_t6	log2FC_t12	log2FC_t24	log2FC_t48	Abundance.Ratio.3..0	Abundance.Ratio.6..0	Abundance.Ratio.12..0	Abundance.Ratio.24..0	Abundance.Ratio.48..0	Abundance.Ratio.log2.3..0	Abundance.Ratio.log2.6..0	Abundance.Ratio.log2.12..0	Abundance.Ratio.log2.24..0	Abundance.Ratio.log2.48..0	Abundance.Ratio.P.Value.3..0	Abundance.Ratio.P.Value.6..0	Abundance.Ratio.P.Value.12..0	Abundance.Ratio.P.Value.24..0	Abundance.Ratio.P.Value.48..0	Abundance.Ratio.Adj.P.Value.3..0	Abundance.Ratio.Adj.P.Value.6..0	Abundance.Ratio.Adj.P.Value.12..0	Abundance.Ratio.Adj.P.Value.24..0	Abundance.Ratio.Adj.P.Value.48..0	Abundance.Ratio.Variability.in.Percent.3..0	Abundance.Ratio.Variability.in.Percent.6..0	Abundance.Ratio.Variability.in.Percent.12..0	Abundance.Ratio.Variability.in.Percent.24..0	Abundance.Ratio.Variability.in.Percent.48..0	Biological.Process	Cellular.Component	Molecular.Function	Pfam.IDs	Entrez.Gene.ID	Ensembl.Gene.ID	Gene.Symbol	Chromosome	KEGG.Pathways	Reactome.Pathways	WikiPathways	Number.of.Protein.Pathway.Groups	Number.of.AAs	MW.in.kDa	calc.pI	Score.Sequest.HT.Sequest.HT	Modifications
Q9NZN8	CCR4-NOT transcription complex subunit 2|CNOT2	13	6	26	6	-0.13289427	-0.153606979	-0.15521265	-0.334607229	-0.64385619	0.912	0.899	0.898	0.793	0.64	-0.13	-0.15	-0.15	-0.34	-0.64	0.169729681	0.125947399	0.030663522	0.025275754	0.025963636	0.910937563	0.622425306	0.355398311	0.186596455	0.171114438	1.53	6.53	1.76	5.52	10.46	cell differentiation;development;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;protein binding	Pf04153	4848	ENSG00000111596.11	CNOT2	12	RNA degradation	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Deadenylation of mRNA		10	540	59.7	7.66	97.42	
O43768	Alpha-endosulfine|ENSA	83	14	123	13	-0.13606155	-0.217591435	-0.177881725	-0.267079618	-0.492078535	0.91	0.86	0.884	0.831	0.711	-0.14	-0.22	-0.18	-0.27	-0.49	0.031478955	0.001832531	0.078234513	0.008993941	0.023562248	0.910937563	0.401245832	0.434886079	0.160658718	0.164389113	0.58	1.33	1.78	0.03	2.93	cell division;regulation of biological process;response to stimulus;transport	cytoplasm	enzyme regulator activity;protein binding	Pf04667	2029	ENSG00000143420.18	ENSA	1		MASTL Facilitates Mitotic Progression		5	121	13.4	7.24	439.63	
P07339	Cathepsin D|CTSD	42	13	385	13	-0.013043037	0.005759269	-0.10780329	-0.316528107	-0.54793177	0.991	1.004	0.928	0.803	0.684	-0.01	0.01	-0.11	-0.32	-0.55	0.910281751	0.74636253	0.031362672	0.022950371	0.008331498	0.983255096	0.920875909	0.358412619	0.182280741	0.145436775	4.46	1.61	2.77	4.4	3.23	metabolic process;transport	extracellular;membrane;organelle lumen;vacuole	catalytic activity;protein binding	"Pf00026, Pf07966, Pf14541, Pf14543"	1509	ENSG00000117984.13	CTSD	11	Lysosome; Tuberculosis; Apoptosis; Sphingolipid signaling pathway	Collagen degradation; Metabolism of Angiotensinogen to Angiotensins; Neutrophil degranulation; MHC class II antigen presentation	Prolactin Signaling Pathway	16	412	44.5	6.54	1347.74	
P53814	Smoothelin|SMTN	14	11	41	11	-0.007231569	-0.168122759	-0.253257284	-0.514573173	-0.506352666	0.995	0.89	0.839	0.7	0.704	-0.01	-0.17	-0.25	-0.52	-0.51	0.402755547	0.095481973	0.105422709	0.03053571	0.027621904	0.910937563	0.610623177	0.465521915	0.196602344	0.173295355	0.86	8.63	8.38	15.98	2.5		cytoplasm;cytoskeleton	protein binding;structural molecule activity	"Pf00307, Pf11971, Pf12510"	6525	ENSG00000183963.18	SMTN	22				0	917	99	9.07	130.96	
Q16787	Laminin subunit alpha-3|LAMA3	4	13	26	13	0.004321606	-0.06039728	-0.327348371	-0.430508908	-0.564904848	1.003	0.959	0.797	0.742	0.676	0	-0.06	-0.33	-0.43	-0.57	0.743656221	0.958997975	0.008597557	0.016394328	0.024425845	0.956998431	0.988311892	0.302593431	0.169092296	0.166467081	3.05	0.41	5.39	6.87	9.44	cell differentiation;cell organization and biogenesis;cellular component movement;regulation of biological process;transport	extracellular	catalytic activity;motor activity;protein binding;structural molecule activity	"Pf00038, Pf00052, Pf00053, Pf00054, Pf00055, Pf01576, Pf02210, Pf03938, Pf05557, Pf06008, Pf06009, Pf06873, Pf07888, Pf07926, Pf10174, Pf11985, Pf12795, Pf13385, Pf13851"	3909		LAMA3	18	Amoebiasis; Pathways in cancer; Toxoplasmosis; Focal adhesion; Small cell lung cancer; ECM-receptor interaction; Metabolic pathways; PI3K-Akt signaling pathway	ECM proteoglycans; Laminin interactions; Degradation of the extracellular matrix; MET activates PTK2 signaling; Type I hemidesmosome assembly; Anchoring fibril formation; Non-integrin membrane-ECM interactions	Alpha 6 Beta 4 signaling pathway; Focal Adhesion; Overview of nanoparticle effects; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	28	3333	366.4	7.24	81.75	
Q15646	2'-5'-oligoadenylate synthase-like protein|OASL	23	10	41	10	-0.03209363	0.049630768	0.540027269	0.749319725	0.65718266	0.978	1.035	1.454	1.681	1.577	-0.03	0.05	0.54	0.75	0.66	0.420413157	0.065283882	0.010492407	0.01371378	0.005568256	0.910937563	0.598480053	0.302593431	0.166328724	0.138329398	0.96	1.38	0.47	11.68	5.31	defense response;regulation of biological process;response to stimulus	cytoplasm;cytosol;membrane;nucleus	catalytic activity;DNA binding;nucleotide binding;protein binding;RNA binding	"Pf00240, Pf10421"	8638	ENSG00000135114.12	OASL	12		Interferon alpha/beta signaling; Interferon gamma signaling		5	514	59.2	7.87	151.63	Met-loss [N-Term]
Q9Y385	Ubiquitin-conjugating enzyme E2 J1|UBE2J1	4	1	6	1	-0.145605322	-0.18606493	-0.236163541	-0.304006187	-0.634867407	0.904	0.879	0.849	0.81	0.644	-0.15	-0.19	-0.24	-0.3	-0.64	0.267321207	0.185153274	0.247674966	0.141544459	0.018093001	0.910937563	0.667486315	0.580478031	0.33996849	0.159823381	7.01	1.13	16.18	14.45	13.46	metabolic process;regulation of biological process	cytoplasm;endoplasmic reticulum;membrane	catalytic activity;nucleotide binding;protein binding	Pf00179	51465	ENSG00000198833.6	UBE2J1	6	Ubiquitin mediated proteolysis; Protein processing in endoplasmic reticulum; Parkinson's disease	Antigen processing: Ubiquitination & Proteasome degradation	Parkin-Ubiquitin Proteasomal System pathway; Parkinsons Disease Pathway	9	318	35.2	6.74	22.99	
Q9UFF9	CCR4-NOT transcription complex subunit 8|CNOT8	8	2	7	2	-0.089267338	-0.23786383	-0.249822294	-0.823677227	-1.168122759	0.94	0.848	0.841	0.565	0.445	-0.09	-0.24	-0.25	-0.82	-1.17	0.336364974	0.06297246	0.118647517	0.034659638	0.063740147	0.910937563	0.597034704	0.475422097	0.202894615	0.224081818	11.93	9.53	12.35	17.79	24.2	metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	catalytic activity;metal ion binding;protein binding;RNA binding	Pf04857	9337	ENSG00000155508.13	CNOT8	5	RNA degradation	TP53 regulates transcription of additional cell cycle genes whose exact role in the p53 pathway remain uncertain; Deadenylation of mRNA		10	292	33.5	4.81	30.4	
P20290	Transcription factor BTF3|BTF3	67	13	137	11	0.041242982	0.064882852	-0.114035243	-0.394031641	-0.729770093	1.029	1.046	0.924	0.761	0.603	0.04	0.07	-0.11	-0.39	-0.73	0.692729459	0.980467676	0.215897873	0.045624854	0.000600114	0.948112967	0.993508122	0.554239571	0.220060026	0.118470301	3.4	5.64	8.36	3.9	2.53	metabolic process;regulation of biological process;transport	cytoplasm;cytosol;nucleus	protein binding;RNA binding	Pf01849	689	ENSG00000145741.15	BTF3	5				0	206	22.2	9.38	413.88	
P08294	Extracellular superoxide dismutase [Cu-Zn]|SOD3	6	1	6	1	0.044044333	0.145351386	-0.628162383	-0.921390165	-1.531156057	1.031	1.106	0.647	0.528	0.346	0.04	0.14	-0.63	-0.92	-1.53	0.508150682	0.29669388	0.004188252	0.016571493	0.032327327	0.915256953	0.738987544	0.291849687	0.169092296	0.179512483	10.37	17.05	2.4	4.49	25.38	metabolic process;response to stimulus	cytoplasm;extracellular;nucleus;organelle lumen	antioxidant activity;catalytic activity;metal ion binding;protein binding	Pf00080	6649	ENSG00000109610.5	SOD3	4		Detoxification of Reactive Oxygen Species	Selenium Micronutrient Network; Vitamin B12 Metabolism; Folate Metabolism; NRF2 pathway; Copper homeostasis; One carbon metabolism and related pathways; Oxidative Stress	10	240	25.8	6.61	25.02	
Q9Y287	Integral membrane protein 2B|ITM2B	18	3	22	3	-0.144010303	-0.052894948	-0.40545145	-0.492078535	-0.573466862	0.905	0.964	0.755	0.711	0.672	-0.14	-0.05	-0.41	-0.49	-0.57	0.567519055	0.212783795	0.013669409	0.0517414	0.023557798	0.920427321	0.683858093	0.314576761	0.230436756	0.164389113	4.37	3.29	3.1	12.39	9.51	metabolic process;regulation of biological process	endosome;extracellular;Golgi;membrane	nucleotide binding;protein binding	Pf04089	9445	ENSG00000136156.12	ITM2B	13		Amyloid fiber formation		2	266	30.3	5.14	76.16	
O75496	Geminin|GMNN	9	2	11	2	-0.112474729	-0.231074664	-0.352915787	-0.518701058	-0.668868078	0.925	0.852	0.783	0.698	0.629	-0.11	-0.23	-0.35	-0.52	-0.67	0.066164705	0.006232523	0.026774709	0.00500969	0.028574833	0.910937563	0.489697894	0.34535144	0.146191974	0.173467913	4.6	0.96	0.13	6.14	19.92	cell organization and biogenesis;metabolic process;regulation of biological process;transport	cytoplasm;cytosol;endoplasmic reticulum;nucleus	catalytic activity;protein binding	"Pf00171, Pf05529, Pf07412, Pf10359"	51053	ENSG00000112312.9	GMNN	6		"M/G1 Transition; CDT1 association with the CDC6:ORC:origin complex; Association of licensing factors with the pre-replicative complex; Cell Cycle, Mitotic; Regulation of DNA replication; Removal of licensing factors from origins"	DNA Replication	11	209	23.6	4.96	40.76	
Q969Q0	60S ribosomal protein L36a-like|RPL36AL	44	6	62	2	0.052415894	0.111031312	-0.013043037	-0.265344567	-0.520769439	1.037	1.08	0.991	0.832	0.697	0.05	0.11	-0.01	-0.27	-0.52	0.197484855	0.575596958	0.750681987	0.171117759	0.014862264	0.910937563	0.85030016	0.881756324	0.373188595	0.153614472	4.03	0.72	12.46	0.21	8.06	metabolic process	cytoplasm;cytosol;membrane;nucleus;ribosome	protein binding;structural molecule activity	Pf00935	6166	ENSG00000165502.6	RPL36AL	14	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane		33	106	12.5	10.65	151.94	
Q5R3I4	Tetratricopeptide repeat protein 38|TTC38	15	5	10	5	0.060739158	0.222804561	0.190298792	0.352758525	0.794935663	1.043	1.167	1.141	1.277	1.735	0.06	0.22	0.19	0.35	0.79	0.827041843	0.276955695	0.349389297	0.073269851	0.007464209	0.976489409	0.725318313	0.64737772	0.257797984	0.144012314	1.77	6.73	2.69	0.95	3.14			protein binding		55020	ENSG00000075234.16	TTC38	22				0	469	52.8	5.99	50.79	
P05161	Ubiquitin-like protein ISG15|ISG15	35	5	42	5	-0.045431429	0.069014678	0.487486349	0.638768944	0.589763487	0.969	1.049	1.402	1.557	1.505	-0.05	0.07	0.49	0.64	0.59	0.569859321	0.070471307	0.032688755	0.003698041	0.010542451	0.920427321	0.600597335	0.364082931	0.13375822	0.149547898	8.4	0.13	7.24	6.66	10.32	defense response;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;extracellular	protein binding	Pf00240	9636	ENSG00000187608.8	ISG15	1	RIG-I-like receptor signaling pathway	Interferon alpha/beta signaling; Termination of translesion DNA synthesis; ISG15 antiviral mechanism;  NS1 Mediated Effects on Host Pathways; Negative regulators of DDX58/IFIH1 signaling	RIG-I-like Receptor Signaling; Type II interferon signaling (IFNG)	21	165	17.9	7.44	131.24	Met-loss [N-Term]
Q96FZ2	Abasic site processing protein HMCES|HMCES	37	11	49	11	-0.040971781	-0.055891201	-0.194294815	-0.298672743	-0.477944251	0.972	0.962	0.874	0.813	0.718	-0.04	-0.06	-0.19	-0.3	-0.48	0.062450059	0.081133437	0.019410559	0.010582101	0.008171472	0.910937563	0.609995339	0.327705064	0.164402784	0.145436775	0.61	2.06	3.87	4.75	4.26	metabolic process		catalytic activity;DNA binding	Pf02586	56941	ENSG00000183624.13	HMCES	3				0	354	40.5	8.15	167.75	
Q9Y6H1	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2|CHCHD2	34	3	34	3	-0.506352666	-0.524915117	-0.954557029	-1.639354798	-1.671163536	0.704	0.695	0.516	0.321	0.314	-0.51	-0.52	-0.96	-1.64	-1.67	0.006730573	6.04E-05	0.002921549	0.022793671	0.005688813	0.847038972	0.316571755	0.264979855	0.182254704	0.138329398	5.48	0.44	7.46	7.2	18.83	cell organization and biogenesis;metabolic process;regulation of biological process	mitochondrion;nucleus	DNA binding;protein binding	Pf06747	51142	ENSG00000106153.12	CHCHD2	7		Mitochondrial protein import; Metabolism of proteins		2	151	15.5	9.22	150.26	
Q9UFW8	CGG triplet repeat-binding protein 1|CGGBP1	53	8	15	8	-0.040971781	-0.054392297	-0.035046947	-0.139235797	-0.461958547	0.972	0.963	0.976	0.908	0.726	-0.04	-0.05	-0.04	-0.14	-0.46	0.557943255	0.75106624	0.348778118	0.074638138	0.003580224	0.920427321	0.922260843	0.647316145	0.259010476	0.129491316	2.68	11.45	4.31	6.53	0.26	metabolic process;regulation of biological process	nucleus	DNA binding;protein binding		8545	ENSG00000163320.10	CGGBP1	3				0	167	18.8	8.95	41.38	
Q9BQE4	Selenoprotein S|SELENOS	15	2	14	2	0.075874867	0.150559677	-0.17299399	-0.529072743	-0.657445255	1.054	1.11	0.887	0.693	0.634	0.08	0.15	-0.17	-0.53	-0.66	0.01222385	0.029670973	0.055168696	0.003234175	0.044494801	0.866620876	0.561465265	0.391448852	0.133724772	0.200665584	0.54	3.18	3.16	0.06	20.71	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytoplasm;endoplasmic reticulum;membrane	antioxidant activity;catalytic activity;protein binding;receptor activity	Pf06936	55829	ENSG00000131871.14	SELENOS	15	Protein processing in endoplasmic reticulum	E3 ubiquitin ligases ubiquitinate target proteins	Selenium Micronutrient Network; Selenium Metabolism and Selenoproteins	7	189	21.2	9.7	71.69	
Q6P5R6	60S ribosomal protein L22-like 1|RPL22L1	10	1	5	1	0.045442971	0.063502942	0.025737561	-0.279283757	-0.592919225	1.032	1.045	1.018	0.824	0.663	0.05	0.06	0.03	-0.28	-0.59	0.383573096	0.175215076	0.835285442	0.12349861	0.008447701	0.910937563	0.65910398	0.925191509	0.317440873	0.145436775	5.66	4.24	2.31	8.58	8.91	metabolic process	ribosome	RNA binding;structural molecule activity	Pf01776	200916	ENSG00000163584.17	RPL22L1	3	Ribosome	Peptide chain elongation; Eukaryotic Translation Termination; Viral mRNA Translation; L13a-mediated translational silencing of Ceruloplasmin expression; Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC); Selenocysteine synthesis; Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC); GTP hydrolysis and joining of the 60S ribosomal subunit; Major pathway of rRNA processing in the nucleolus and cytosol; Regulation of expression of SLITs and ROBOs; Formation of a pool of free 40S subunits; SRP-dependent cotranslational protein targeting to membrane		33	122	14.6	9.38	16.59	
Q15390	Mitochondrial fission regulator 1|MTFR1	5	2	9	2	-0.058893689	-0.086201035	-0.263611599	-0.413115187	-0.573466862	0.96	0.942	0.833	0.751	0.672	-0.06	-0.09	-0.26	-0.41	-0.57	0.351757784	0.329268268	0.028330312	0.018293279	0.008342022	0.910937563	0.748322753	0.350788792	0.17192072	0.145436775	8.01	10.9	7.21	9.22	1.68	cell organization and biogenesis;metabolic process	cytosol;membrane;mitochondrion		Pf05308	9650	ENSG00000066855.15	MTFR1	8				0	333	37	9.01	26.57	
Q9NP84	Tumor necrosis factor receptor superfamily member 12A|TNFRSF12A	31	3	12	3	0.310340121	0.09895848	-0.510457064	-0.81857936	-0.746615764	1.24	1.071	0.702	0.567	0.596	0.31	0.1	-0.51	-0.82	-0.75	0.1753486	0.277016489	0.050234454	0.006159878	0.01396188	0.910937563	0.725318313	0.385231005	0.154062622	0.152142948	17.07	7.4	0.51	2.32	14.25	cell death;cell differentiation;development;regulation of biological process;response to stimulus;transport	cell surface;membrane	protein binding;transporter activity	"Pf00083, Pf05631, Pf06609, Pf07690, Pf13347"	51330	ENSG00000006327.13	TNFRSF12A	16	Cytokine-cytokine receptor interaction	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway	6	129	13.9	8.95	35.42	
Q5K651	Sterile alpha motif domain-containing protein 9|SAMD9	18	23	117	22	-0.052894948	0.018634174	0.438292852	0.516015147	0.396159489	0.964	1.013	1.355	1.43	1.316	-0.05	0.02	0.44	0.52	0.4	0.478169629	0.311054029	0.007060868	0.000123632	0.009379948	0.910937563	0.745041853	0.302593431	0.100919346	0.146787628	10.39	2.2	4.21	0.23	1.42	cell organization and biogenesis	cytoplasm;cytosol;endosome	nucleotide binding;protein binding	"Pf00536, Pf04326, Pf07647"	54809	ENSG00000205413.7	SAMD9	7				0	1589	184.2	7.83	397.64	
P02794	Ferritin heavy chain|FTH1	16	3	8	3	0.237563718	0.340277405	-0.249822294	-0.668868078	-0.66428809	1.179	1.266	0.841	0.629	0.631	0.24	0.34	-0.25	-0.67	-0.66	0.09471859	0.127781661	0.122342409	0.005902329	0.002960187	0.910937563	0.622425306	0.480126735	0.154062622	0.129491316	13.17	22.78	16.19	3.52	4.28	cellular homeostasis;metabolic process;regulation of biological process;response to stimulus;transport	cytosol;extracellular;nucleus;vacuole	catalytic activity;metal ion binding;protein binding	Pf00210	2495	ENSG00000167996.15	FTH1	11	Mineral absorption	Neutrophil degranulation; Golgi Associated Vesicle Biogenesis; Iron uptake and transport; Scavenging by Class A Receptors	Iron metabolism in placenta; NRF2 pathway	15	183	21.2	5.55	25.41	
Q96H55	Unconventional myosin-XIX|MYO19	4	3	9	3	0.008630305	-0.048412205	-0.364013496	-0.467932448	-0.650634722	1.006	0.967	0.777	0.723	0.637	0.01	-0.05	-0.36	-0.47	-0.65	0.470074623	0.083153608	0.000515598	0.032381311	0.127574305	0.910937563	0.610623177	0.21043764	0.198406631	0.303443582	2.05	1.72	0.98	4.55	13.11	regulation of biological process	cytoplasm;cytoskeleton;membrane;mitochondrion	catalytic activity;motor activity;nucleotide binding;protein binding	"Pf00063, Pf13401"	80179	ENSG00000278259.4; ENSG00000278372.4	MYO19	17; CHR_HSCHR17_7_CTG4				0	970	109.1	7.71	28.97	
Q9BVW5	TIMELESS-interacting protein|TIPIN	7	2	5	2	-0.084670324	-0.080087911	-0.067938829	-0.166502663	-0.450084446	0.943	0.946	0.954	0.891	0.732	-0.08	-0.08	-0.07	-0.17	-0.45	0.014890715	0.163036554	0.333320206	0.089242755	0.025188946	0.866620876	0.653914375	0.640600505	0.278804322	0.168249886	0.91	1.13	7.56	2.25	11.15	cell division;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding	Pf07962	54962	ENSG00000075131.9	TIPIN	15		Processing of DNA double-strand break ends		5	301	34.5	4.82	17.83	
Q8WW33	Gametocyte-specific factor 1|GTSF1	34	6	18	6	-0.120294234	-0.027674958	-0.205896101	-0.343732465	-0.529072743	0.92	0.981	0.867	0.788	0.693	-0.12	-0.03	-0.21	-0.34	-0.53	0.168557312	0.438921164	0.076687611	0.034612858	0.02840125	0.910937563	0.790956085	0.433248756	0.202894615	0.173467913	8.47	5.39	7.46	6.2	11.27	cell differentiation	cytoplasm	metal ion binding	Pf05253	121355	ENSG00000170627.10	GTSF1	12				0	167	19.3	6.51	55.4	
O00391	Sulfhydryl oxidase 1|QSOX1	9	5	20	5	0.142740172	0.059355278	-0.347398782	-0.628162383	-0.569179503	1.104	1.042	0.786	0.647	0.674	0.14	0.06	-0.35	-0.63	-0.57	0.091754228	0.229120489	0.138862305	0.007956103	0.042860778	0.910937563	0.695242452	0.492961792	0.160658718	0.199110964	7.61	4.39	22.21	8.92	5.22	cellular homeostasis;metabolic process;regulation of biological process;transport	extracellular;Golgi;membrane;organelle lumen	catalytic activity	"Pf00085, Pf04777, Pf13905"	5768	ENSG00000116260.16	QSOX1	1		Platelet degranulation ; Post-translational protein phosphorylation; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); Neutrophil degranulation		11	747	82.5	8.92	68.33	
P19484	Transcription factor EB|TFEB	2	1	17	1	-1.126580497	-1.145605322	-0.469929258	-0.390245038	-0.935117148	0.458	0.452	0.722	0.763	0.523	-1.13	-1.14	-0.47	-0.39	-0.94	0.005117121	0.094499765	0.240315773	0.055765103	0.023785658	0.847038972	0.610623177	0.574622218	0.233758457	0.164891252	9.61	3.12	42.31	13.49	3.36	cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;nucleus	DNA binding;protein binding	"Pf00010, Pf11851"	7942	ENSG00000112561.17	TFEB	6			PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	1	476	52.8	6.29	41.57	
P49788	Retinoic acid receptor responder protein 1|RARRES1	23	5	29	5	-0.10159814	-0.13289427	-0.40927823	-0.63039393	-0.673462652	0.932	0.912	0.753	0.646	0.627	-0.1	-0.13	-0.41	-0.63	-0.67	0.238995881	0.064455135	0.045545233	0.018606449	0.005675555	0.910937563	0.598480053	0.38193733	0.17315513	0.138329398	9.48	2.43	3.2	7.9	7.22	regulation of biological process	membrane		Pf06907	5918	ENSG00000118849.9	RARRES1	3				0	294	33.3	8.51	105.08	
P0DTC5	Membrane protein|M	31	7	288	7	0.024319679	0.020057652	2.260627908	3.309903756	3.558022674	1.017	1.014	4.792	9.917	11.778	0.02	0.02	2.26	3.31	3.56	0.322015549	0.339184197	0.004807345	0.004260026	0.005956006	0.910937563	0.751462831	0.296207315	0.134138874	0.1390908	2.2	0.15	8.56	22.69	10.19							M					0	222	25.1	9.44	1041.38	Met-loss [N-Term]
P53621	Coatomer subunit alpha|COPA	42	49	432	49	-0.072482754	-0.070966521	-0.140825544	-0.365871442	-0.531156057	0.951	0.952	0.907	0.776	0.692	-0.07	-0.07	-0.14	-0.37	-0.53	0.42494611	0.11430368	0.152268433	0.1340241	0.0089659	0.910937563	0.622425306	0.506144169	0.330752154	0.146787628	3.99	3.55	3.48	13.13	4.78	regulation of biological process;transport	cytoplasm;cytosol;extracellular;Golgi;membrane	protein binding;structural molecule activity	"Pf00400, Pf04053, Pf06957"	1314	ENSG00000122218.14	COPA	1		COPI-dependent Golgi-to-ER retrograde traffic; COPI-mediated anterograde transport		11	1224	138.3	7.66	1473.74	
P01011	Alpha-1-antichymotrypsin|SERPINA3	38	16	201	16	-0.090802937	-0.117161344	-0.349235441	-0.526992432	-0.584241333	0.939	0.922	0.785	0.694	0.667	-0.09	-0.12	-0.35	-0.53	-0.58	0.040488772	0.012830796	0.002803827	0.00325533	0.003343551	0.910937563	0.52196976	0.262385283	0.133724772	0.129491316	2.65	2.22	2.85	5.31	0.03	defense response;regulation of biological process;response to stimulus;transport	extracellular;nucleus;organelle lumen	DNA binding;enzyme regulator activity;protein binding	Pf00079	12	ENSG00000196136.17	SERPINA3	14		Platelet degranulation ; Neutrophil degranulation	Selenium Micronutrient Network; Vitamin B12 Metabolism; Folate Metabolism	10	423	47.6	5.52	680.25	
Q08345	Epithelial discoidin domain-containing receptor 1|DDR1	6	6	21	6	-0.010134377	0.008630305	-0.282789701	-0.512513651	-0.775959726	0.993	1.006	0.822	0.701	0.584	-0.01	0.01	-0.28	-0.51	-0.78	0.655080233	0.612715788	0.07460152	0.001601015	0.015483002	0.941487482	0.871843135	0.430725655	0.129711934	0.155539156	1.83	0.18	4.95	0.18	9.23	cell growth;cell organization and biogenesis;cellular component movement;metabolic process;regulation of biological process;response to stimulus;transport	extracellular;membrane	catalytic activity;metal ion binding;nucleotide binding;protein binding;receptor activity;signal transducer activity	"Pf00069, Pf00754, Pf07714"	780	ENSG00000230456.10; ENSG00000234078.10; ENSG00000137332.19; ENSG00000215522.11; ENSG00000204580.13	DDR1	6; CHR_HSCHR6_MHC_DBB_CTG1; CHR_HSCHR6_MHC_MANN_CTG1; CHR_HSCHR6_MHC_COX_CTG1; CHR_HSCHR6_MHC_QBL_CTG1		Non-integrin membrane-ECM interactions	Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway	3	913	101.1	6.83	55.85	
Q9Y5A9	YTH domain-containing family protein 2|YTHDF2	34	19	102	14	-0.002888279	-0.023269779	-0.038006323	-0.323732592	-0.483984853	0.998	0.984	0.974	0.799	0.715	0	-0.02	-0.04	-0.32	-0.48	0.431757207	0.376482246	0.242444408	0.015954299	0.006822927	0.910937563	0.771138485	0.576375275	0.169092296	0.14104879	0.78	0.09	4.02	0.73	4.38	cell organization and biogenesis;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	protein binding;RNA binding	Pf04146	51441	ENSG00000198492.15	YTHDF2	1				0	579	62.3	8.79	343.83	
Q9H4H8	Protein FAM83D|FAM83D	18	9	21	9	0.031395196	0.021479727	-0.069451881	-0.386468347	-0.54793177	1.022	1.015	0.953	0.765	0.684	0.03	0.02	-0.07	-0.39	-0.55	0.627842291	0.802240161	0.292085954	0.031632985	0.015983818	0.935460457	0.93934432	0.613074425	0.197868898	0.155539156	10.4	6.85	7.85	0.55	7.79	cell division;cell organization and biogenesis;cell proliferation;cellular component movement;regulation of biological process	cytoplasm;cytoskeleton	protein binding	"Pf07894, Pf13091"	81610	ENSG00000101447.14	FAM83D	20				0	585	64.4	6.54	77.64	
Q9GZV5	WW domain-containing transcription regulator protein 1|WWTR1	28	6	30	6	-0.179514657	-0.087733372	-0.17625064	-0.377069649	-0.469929258	0.883	0.941	0.885	0.77	0.722	-0.18	-0.09	-0.18	-0.38	-0.47	0.006106921	0.213019475	0.085340732	0.01043595	0.018475825	0.847038972	0.683858093	0.446417902	0.164402784	0.159887701	0.14	7.84	6.68	6.7	2.84	cell differentiation;cell division;cell organization and biogenesis;metabolic process;regulation of biological process;response to stimulus	cytoplasm;cytosol;nucleus	protein binding	Pf00397	25937	ENSG00000018408.14	WWTR1	3	Hippo signaling pathway; Hippo signaling pathway -multiple species	RUNX2 regulates osteoblast differentiation; Physiological factors; Signaling by Hippo; SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription; YAP1- and WWTR1 (TAZ)-stimulated gene expression; PPARA activates gene expression; RUNX3 regulates YAP1-mediated transcription	Adipogenesis	25	400	44.1	5.82	111.4	
