Protein.Accessions	gene_id	gene_version	gene_name	gene_biotype	gene_source	location	baseMean_3h	log2FoldChange_3h	lfcSE_3h	pvalue_3h	padj_3h	significant_3h	rank_log2_fold_change_3h	rank_base_mean_3h	rank_padj_3h	max_rank_3h	baseMean_6h	log2FoldChange_6h	lfcSE_6h	pvalue_6h	padj_6h	significant_6h	rank_log2_fold_change_6h	rank_base_mean_6h	rank_padj_6h	max_rank_6h	baseMean_12h	log2FoldChange_12h	lfcSE_12h	pvalue_12h	padj_12h	significant_12h	rank_log2_fold_change_12h	rank_base_mean_12h	rank_padj_12h	max_rank_12h	baseMean_24h	log2FoldChange_24h	lfcSE_24h	pvalue_24h	padj_24h	significant_24h	rank_log2_fold_change_24h	rank_base_mean_24h	rank_padj_24h	max_rank_24h	baseMean_48h	log2FoldChange_48h	lfcSE_48h	pvalue_48h	padj_48h	significant_48h	rank_log2_fold_change_48h	rank_base_mean_48h	rank_padj_48h	max_rank_48h
P07099	ENSG00000143819	12	EPHX1	protein_coding	ensembl_havana	chr1:225810092-225845563:+	265.5506625	-0.167714333	0.059820314	0.004178469	0.012286403	yes	13348	6558	8401	13348	265.5506625	-0.011842384	0.059451818	0.839460144	1	no	28206	6558	20364	28206	265.5506625	0.117843401	0.059164882	0.044332303	0.126050217	no	17985	6558	12686	17985	265.5506625	-1.269114843	0.163203863	1.18E-15	1.28E-14	yes	2372	6558	3072	6558	265.5506625	-1.551006347	0.155725005	2.30E-24	3.24E-23	yes	1546	6558	2574	6558
P62745	ENSG00000143878	10	RHOB	protein_coding	ensembl_havana	chr2:20447074-20449440:+	2171.590535	1.843218445	0.056970374	3.23E-232	2.05E-229	yes	201	769	41	769	2171.590535	1.344225341	0.057342056	7.56E-123	1.13E-120	yes	919	769	212	919	2171.590535	1.097095177	0.057780234	5.29E-82	9.98E-80	yes	1288	769	315	1288	2171.590535	2.406404542	0.063171846	0	0	yes	441	769	1	769	2171.590535	1.735703557	0.064265393	6.82E-162	2.58E-159	yes	1134	769	246	1134
Q96C23	ENSG00000143891	17	GALM	protein_coding	ensembl_havana	chr2:38666081-38741237:+	159.6126743	-0.33009699	0.088022659	8.27E-05	0.000328317	yes	7572	8416	6220	8416	159.6126743	-0.328524272	0.088625305	0.000150559	0.000699566	yes	10841	8416	8186	10841	159.6126743	-0.806136102	0.093424764	5.64E-19	7.04E-18	yes	2602	8416	2528	8416	159.6126743	-2.008830975	0.256944479	4.01E-17	4.99E-16	yes	716	8416	2863	8416	159.6126743	-1.157622857	0.167630898	1.43E-12	1.15E-11	yes	3304	8416	4339	8416
Q8WUX2	ENSG00000143942	5	CHAC2	protein_coding	ensembl_havana	chr2:53767804-53775196:+	62.12591859	1.099542814	0.169027934	1.77E-12	1.14E-11	yes	867	11210	2766	11210	62.12591859	1.515908545	0.165130138	1.03E-21	1.07E-20	yes	620	11210	2557	11210	62.12591859	1.711964396	0.163634051	2.79E-27	3.29E-26	yes	352	11210	1681	11210	62.12591859	1.104123861	0.260896105	5.56E-06	1.78E-05	yes	3152	11210	5832	11210	62.12591859	-0.121667687	0.316045521	0.675228923	0.637732245	no	21251	11210	19058	21251
O00470	ENSG00000143995	20	MEIS1	protein_coding	ensembl_havana	chr2:66433452-66573869:+	87.53584757	-0.581413534	0.168250191	8.52E-05	0.000270146	yes	3535	10372	6144	10372	87.53584757	-0.264910236	0.154975884	0.067209027	0.186710621	no	12695	10372	13968	13968	87.53584757	0.324880308	0.142610102	0.015698415	0.04680777	yes	10005	10372	11038	11038	87.53584757	2.769882978	0.171015417	6.65E-62	1.38E-60	yes	305	10372	860	10372	87.53584757	1.939136699	0.179801117	9.97E-29	9.45E-28	yes	803	10372	2233	10372
Q9UBK7	ENSG00000144134	18	RABL2A	protein_coding	ensembl_havana	chr2:113627229-113643396:+	96.54256249	0.067477363	0.098801806	0.470548721	0.629837442	no	19412	10080	17165	19412	96.54256249	-0.050009321	0.102839054	0.614648383	1	no	22382	10080	20364	22382	96.54256249	0.28351982	0.100598813	0.00372729	0.01275939	yes	11264	10080	9616	11264	96.54256249	-0.741365979	0.23544966	0.000886818	0.002537178	yes	6509	10080	7666	10080	96.54256249	-1.610506864	0.281128168	7.47E-10	3.56E-09	yes	1393	10080	5037	10080
Q8WUM9	ENSG00000144136	11	SLC20A1	protein_coding	ensembl_havana	chr2:112645939-112663825:+	1612.399245	2.15275722	0.0416526	0	0	yes	128	1135	1	1135	1612.399245	3.083160197	0.040781505	0	0	yes	38	1135	1	1135	1612.399245	2.525563242	0.041314422	0	0	yes	71	1135	1	1135	1612.399245	0.909144307	0.07571844	1.42E-33	5.62E-32	yes	4667	1135	1606	4667	1612.399245	0.498690455	0.075262869	2.79E-11	5.44E-10	yes	11040	1135	4793	11040
Q8N1E2	ENSG00000144214	9	LYG1	protein_coding	ensembl_havana	chr2:99284238-99304742:-	15.4882001	-0.136805468	0.248451485	0.455633118	0.488993808	no	14928	14227	15629	15629	15.4882001	-0.236650797	0.281289137	0.302882152	0.286933085	no	13645	14227	15222	15222	15.4882001	-0.30410726	0.28119898	0.172979081	0.219779207	no	10625	14227	14071	14227	15.4882001	1.613356072	0.394988184	1.56E-06	4.90E-06	yes	1257	14227	5495	14227	15.4882001	0.966776622	0.386092428	0.00429479	0.00763697	yes	4755	14227	9299	14227
Q6DCA0	ENSG00000144233	10	AMMECR1L	protein_coding	ensembl_havana	chr2:127861630-127885956:-	524.5976305	0.875563404	0.056751995	8.79E-55	5.56E-53	yes	1507	3949	466	3949	524.5976305	0.878663135	0.057135296	2.91E-54	1.64E-52	yes	2773	3949	836	3949	524.5976305	0.451979691	0.058511408	5.97E-15	1.02E-13	yes	6970	3949	3215	6970	524.5976305	1.487727246	0.081945818	8.38E-75	3.71E-73	yes	1580	3949	690	3949	524.5976305	0.963236822	0.083322577	2.88E-31	7.13E-30	yes	4800	3949	2100	4800
P56177	ENSG00000144355	15	DLX1	protein_coding	ensembl_havana	chr2:172084740-172089677:+	3.042344822	1.285366918	1.169650583	0.00044006	0.001042546	yes	553	18185	6759	18185	3.042344822	0.813147462	0.837585577	0.008397494	0.009643034	yes	3252	18185	9771	18185	3.042344822	0.560436669	0.713328457	0.023577567	0.024032912	yes	5075	18185	10213	18185	3.042344822	1.649820098	1.416893596	0.002223358	0.004769973	yes	1180	18185	8066	18185	3.042344822	5.118553127	1.475765633	5.55E-07	1.21E-06	yes	54	18185	6066	18185
Q6ZT12	ENSG00000144357	17	UBR3	protein_coding	ensembl_havana	chr2:169827454-170084131:+	503.4520381	0.262432354	0.066283101	4.69E-05	0.000210966	yes	9595	4084	6034	9595	503.4520381	0.612927999	0.06588299	4.40E-21	8.40E-20	yes	5299	4084	2675	5299	503.4520381	0.699774723	0.065536876	2.27E-27	7.99E-26	yes	3436	4084	1709	4084	503.4520381	1.560095336	0.08800275	1.33E-71	1.26E-69	yes	1385	4084	721	4084	503.4520381	1.52717263	0.081989159	2.20E-78	1.38E-76	yes	1623	4084	743	4084
Q8NCX0	ENSG00000144395	18	CCDC150	protein_coding	ensembl_havana	chr2:196639554-196763490:+	19.98925458	0.199328681	0.250528757	0.281748002	0.272823856	no	11964	13701	13369	13701	19.98925458	0.208803085	0.271992771	0.352887568	0.352077906	no	14613	13701	15998	15998	19.98925458	0.651692711	0.287751355	0.004357706	0.005962639	yes	3922	13701	8969	13701	19.98925458	2.117996362	0.386422864	2.21E-10	8.05E-10	yes	624	13701	4062	13701	19.98925458	0.251126306	0.437286569	0.495697272	0.45441596	no	16850	13701	16692	16850
A0AUZ9	ENSG00000144445	17	KANSL1L	protein_coding	ensembl_havana	chr2:210021421-210171409:-	128.5532544	-0.988981373	0.104570507	1.45E-22	1.74E-21	yes	1122	9161	1456	9161	128.5532544	-1.996627549	0.129287287	1.67E-56	7.95E-55	yes	238	9161	800	9161	128.5532544	-0.372561455	0.095236685	5.90E-05	0.000204412	yes	8745	9161	7101	9161	128.5532544	0.449108178	0.155486138	0.003133028	0.006748644	yes	11371	9161	8293	11371	128.5532544	1.132860393	0.121074008	2.54E-21	2.12E-20	yes	3459	9161	2872	9161
Q8N0X2	ENSG00000144451	19	SPAG16	protein_coding	ensembl_havana	chr2:213284379-214410501:+	112.9696237	-0.469220504	0.082861359	3.61E-09	1.91E-08	yes	4864	9601	3687	9601	112.9696237	-0.837894009	0.087676098	1.76E-22	2.30E-21	yes	3048	9601	2477	9601	112.9696237	-1.33866311	0.094706629	6.66E-47	2.63E-45	yes	753	9601	800	9601	112.9696237	-1.498947865	0.236078116	1.37E-11	6.77E-11	yes	1547	9601	3774	9601	112.9696237	-1.004336831	0.172416633	2.24E-09	1.00E-08	yes	4431	9601	5218	9601
Q86UK0	ENSG00000144452	15	ABCA12	protein_coding	ensembl_havana	chr2:214931542-215138626:-	81.88973565	-0.314388892	0.136151852	0.010249389	0.022259704	yes	7998	10568	8974	10568	81.88973565	-0.746761759	0.152161251	1.81E-07	9.61E-07	yes	3804	10568	5988	10568	81.88973565	0.097019565	0.129600488	0.432813973	0.576404062	no	19077	10568	18463	19077	81.88973565	1.400092721	0.188573272	1.09E-14	6.43E-14	yes	1863	10568	3187	10568	81.88973565	1.764235969	0.161347038	3.91E-29	3.18E-28	yes	1076	10568	2190	10568
Q8NBK3	ENSG00000144455	14	SUMF1	protein_coding	ensembl_havana	chr3:3700814-4467273:-	340.9474045	-0.077010512	0.061009321	0.197219061	0.358400477	no	18659	5596	14299	18659	340.9474045	-0.083993603	0.062134817	0.168264664	0.449538614	no	20238	5596	17091	20238	340.9474045	-0.095822111	0.062057141	0.118661434	0.417606124	no	19142	5596	16560	19142	340.9474045	-1.168323854	0.140896695	2.47E-17	2.77E-16	yes	2810	5596	2836	5596	340.9474045	-1.747098057	0.147936331	1.85E-33	3.32E-32	yes	1108	5596	1952	5596
Q9P242	ENSG00000144460	12	NYAP2	protein_coding	ensembl_havana	chr2:225399710-225654018:+	2.013467573	0.367458181	0.58077342	0.059792435	0.085687309	yes	6707	19322	10741	19322	2.013467573	0.235876134	0.573173245	0.32725836	0.231427378	no	13673	19322	14534	19322	2.013467573	0.156715014	0.529635636	0.448080395	0.282186192	no	16077	19322	14837	19322	2.013467573	0.249646155	0.761887532	0.470183896	0.428007376	no	16356	19322	15359	19322	2.013467573	2.141256556	1.344893967	0.000454866	0.000811702	yes	608	19322	8023	19322
Q9P2E8	ENSG00000144583	5	MARCHF4	protein_coding	ensembl_havana	chr2:216257865-216372483:-	247.4608927	1.069995514	0.077982633	2.34E-44	9.53E-43	yes	930	6809	629	6809	247.4608927	1.621875598	0.076016752	9.37E-103	1.44E-100	yes	507	6809	298	6809	247.4608927	0.736849934	0.080130615	5.21E-21	5.96E-20	yes	3142	6809	2282	6809	247.4608927	0.950288656	0.133170726	3.75E-13	3.80E-12	yes	4321	6809	3518	6809	247.4608927	0.724562914	0.126781089	6.89E-09	4.43E-08	yes	7491	6809	5448	7491
Q6XE24	ENSG00000144642	22	RBMS3	protein_coding	ensembl_havana	chr3:28574791-30010391:+	12.76308311	-0.140415954	0.28702196	0.469037862	0.410798923	no	14724	14622	14829	14829	12.76308311	-1.014416258	0.487255222	0.002090919	0.003412443	yes	2013	14622	9046	14622	12.76308311	-1.156317351	0.550133805	0.00074743	0.001484986	yes	1139	14622	8030	14622	12.76308311	1.0399974	0.48847482	0.006736576	0.010894836	yes	3598	14622	8645	14622	12.76308311	2.812301076	0.424611036	5.79E-15	2.30E-14	yes	289	14622	3751	14622
Q96S65	ENSG00000144655	15	CSRNP1	protein_coding	ensembl_havana	chr3:39141855-39154562:-	1185.083389	2.135379826	0.073493542	1.07E-187	5.62E-185	yes	133	1692	54	1692	1185.083389	1.842786137	0.074669598	9.18E-137	2.51E-134	yes	321	1692	172	1692	1185.083389	0.862943238	0.079382536	1.01E-28	3.00E-27	yes	2263	1692	1604	2263	1185.083389	4.693485703	0.076784836	0	0	yes	80	1692	1	1692	1185.083389	4.511933639	0.075633827	0	0	yes	90	1692	1	1692
Q13797	ENSG00000144668	12	ITGA9	protein_coding	ensembl_havana	chr3:37452115-37823507:+	3.782012767	1.714761086	1.039164615	0.000146485	0.00036025	yes	253	17595	6259	17595	3.782012767	1.782683793	0.960402447	0.00015255	0.000221509	yes	373	17595	7660	17595	3.782012767	0.289922377	0.522577136	0.219967959	0.19152795	no	11076	17595	13652	17595	3.782012767	1.531434946	1.029195932	0.002648467	0.005615857	yes	1463	17595	8161	17595	3.782012767	0.293497373	0.760916316	0.442128427	0.381903677	no	15682	17595	15886	17595
Q9BYH8	ENSG00000144802	11	NFKBIZ	protein_coding	ensembl_havana	chr3:101827991-101861022:+	1618.376379	-1.298233435	0.142907819	7.97E-22	1.34E-20	yes	537	1131	1532	1532	1618.376379	-1.244293439	0.140937271	5.58E-20	9.30E-19	yes	1146	1131	2795	2795	1618.376379	-0.990827238	0.14222331	1.15E-13	2.00E-12	yes	1645	1131	3461	3461	1618.376379	2.544720966	0.141017906	1.52E-75	1.55E-73	yes	389	1131	683	1131	1618.376379	1.867111977	0.14011608	5.65E-42	3.36E-40	yes	897	1131	1566	1566
P27658	ENSG00000144810	16	COL8A1	protein_coding	ensembl_havana	chr3:99638475-99799226:+	101.4291098	0.599490566	0.14902062	8.41E-06	3.06E-05	yes	3334	9932	5357	9932	101.4291098	0.965235936	0.146286582	4.06E-12	3.03E-11	yes	2257	9932	4274	9932	101.4291098	1.490461546	0.141822197	2.29E-27	4.45E-26	yes	553	9932	1690	9932	101.4291098	1.991060809	0.201101706	3.26E-25	2.70E-24	yes	734	9932	2053	9932	101.4291098	2.511350993	0.171566513	1.14E-51	2.36E-50	yes	384	9932	1228	9932
Q96K78	ENSG00000144820	8	ADGRG7	protein_coding	ensembl_havana	chr3:100609601-100695479:+	13.39671864	-0.457814303	0.329226458	0.036740359	0.060563832	yes	5014	14511	10175	14511	13.39671864	-0.718013996	0.371773775	0.009887061	0.015542659	yes	4071	14511	10154	14511	13.39671864	-0.532262395	0.340489697	0.032429057	0.049367962	yes	5519	14511	11116	14511	13.39671864	0.930896265	0.440995146	0.010090979	0.016437752	yes	4482	14511	8948	14511	13.39671864	1.828791804	0.385258393	5.74E-08	1.37E-07	yes	958	14511	5648	14511
O75469	ENSG00000144852	18	NR1I2	protein_coding	ensembl_havana	chr3:119780484-119818485:+	6.889229373	-0.778589804	0.332372078	0.001103881	0.00219614	yes	1930	16049	7160	16049	6.889229373	-2.002626297	0.459164465	2.92E-08	9.06E-08	yes	236	16049	5493	16049	6.889229373	-1.039745349	0.362253686	0.000147151	0.000246281	yes	1473	16049	7169	16049	6.889229373	-0.355522395	0.501952901	0.354138062	0.35415969	no	13522	16049	14575	16049	6.889229373	-1.144633417	0.792162345	0.012921195	0.019194161	yes	3388	16049	10042	16049
Q9BWV1	ENSG00000144857	14	BOC	protein_coding	ensembl_havana	chr3:113211003-113287459:+	6.442240762	-0.08508095	0.402713419	0.640926398	0.627768144	no	18079	16209	17126	18079	6.442240762	0.091244451	0.462166834	0.730102483	0.647899577	no	19879	16209	19211	19879	6.442240762	-0.365308987	0.585821854	0.11528817	0.113767643	no	8928	16209	12473	16209	6.442240762	3.981894553	0.809921049	1.00E-09	3.50E-09	yes	125	16209	4247	16209	6.442240762	1.888780897	0.811631473	0.000198264	0.000341289	yes	864	16209	7672	16209
Q86YW9	ENSG00000144893	12	MED12L	protein_coding	ensembl_havana	chr3:151085697-151437072:+	83.14938141	0.139990073	0.158965195	0.3122923	0.466744527	no	14749	10529	15373	15373	83.14938141	0.295832879	0.168108863	0.056836351	0.161727168	no	11782	10529	13637	13637	83.14938141	1.030150548	0.167698154	2.58E-11	2.11E-10	yes	1506	10529	4021	10529	83.14938141	2.484704442	0.212621149	2.89E-34	3.18E-33	yes	410	10529	1549	10529	83.14938141	3.033213941	0.185660155	1.48E-64	3.26E-63	yes	238	10529	964	10529
O75891	ENSG00000144908	14	ALDH1L1	protein_coding	ensembl_havana	chr3:126103562-126197994:-	29.56421523	-0.34717556	0.145075337	0.007103124	0.014002897	yes	7149	12885	8509	12885	29.56421523	-0.607309594	0.154763867	2.78E-05	5.57E-05	yes	5355	12885	7148	12885	29.56421523	-1.626021234	0.186914787	7.73E-20	5.86E-19	yes	421	12885	2393	12885	29.56421523	-0.720003095	0.331860058	0.015490352	0.029145801	yes	6774	12885	9494	12885	29.56421523	-2.408153245	0.726374557	1.48E-06	4.17E-06	yes	437	12885	6326	12885
Q9BXB4	ENSG00000144909	8	OSBPL11	protein_coding	ensembl_havana	chr3:125528858-125595497:-	241.0121041	0.800620065	0.082168147	1.94E-23	3.79E-22	yes	1819	6916	1409	6916	241.0121041	0.497689538	0.08416823	1.58E-09	1.41E-08	yes	7020	6916	5124	7020	241.0121041	0.53008425	0.083661646	9.38E-11	5.81E-10	yes	5558	6916	4144	6916	241.0121041	1.571642024	0.11797202	8.45E-42	2.39E-40	yes	1352	6916	1286	6916	241.0121041	1.294837498	0.113796948	1.13E-30	1.88E-29	yes	2530	6916	2131	6916
Q96RP3	ENSG00000145040	4	UCN2	protein_coding	ensembl_havana	chr3:48561718-48563781:-	8.740885585	1.126259127	0.613311281	0.000656108	0.001560283	yes	808	15484	6959	15484	8.740885585	2.457863606	0.610526131	5.88E-08	1.78E-07	yes	107	15484	5632	15484	8.740885585	2.633096182	0.588770711	6.75E-09	1.89E-08	yes	58	15484	4655	15484	8.740885585	2.397359959	0.80164512	7.30E-06	2.21E-05	yes	446	15484	5885	15484	8.740885585	0.518954266	0.661555453	0.220803966	0.226222579	no	10664	15484	13974	15484
P55145	ENSG00000145050	19	MANF	protein_coding	ensembl_havana	chr3:51385291-51389397:+	705.1627987	0.280980035	0.047610408	2.11E-09	1.57E-08	yes	9001	3005	3650	9001	705.1627987	0.317589685	0.047864129	2.42E-11	2.30E-10	yes	11148	3005	4531	11148	705.1627987	0.573210475	0.047318169	3.03E-34	1.12E-32	yes	4894	3005	1273	4894	705.1627987	-1.169332921	0.109892691	4.34E-27	1.50E-25	yes	2803	3005	1969	3005	705.1627987	-1.789310807	0.116504046	1.46E-54	6.47E-53	yes	1038	3005	1170	3005
Q99102	ENSG00000145113	22	MUC4	protein_coding	ensembl_havana	chr3:195746765-195811973:-	32.66521055	-0.022938701	0.198801905	0.88721955	0.895762369	no	23910	12670	19602	23910	32.66521055	0.257583064	0.216727899	0.177756144	0.182997454	no	12916	12670	13928	13928	32.66521055	-0.505395104	0.242183978	0.013193138	0.025316219	yes	5960	12670	10274	12670	32.66521055	1.038672029	0.323617418	0.000352076	0.000882828	yes	3606	12670	7124	12670	32.66521055	1.885953887	0.271022499	9.31E-14	3.47E-13	yes	869	12670	3999	12670
O94813	ENSG00000145147	20	SLIT2	protein_coding	ensembl_havana	chr4:20251905-20620561:+	45.17948344	0.293900497	0.171936257	0.045326645	0.076284047	yes	8593	11944	10549	11944	45.17948344	-0.345262798	0.192598847	0.047306927	0.09778994	yes	10388	11944	12591	12591	45.17948344	-0.164207583	0.182397262	0.322270011	0.361059627	no	15755	11944	15886	15886	45.17948344	1.406357909	0.261127194	6.42E-09	2.40E-08	yes	1840	11944	4541	11944	45.17948344	1.851367726	0.222836304	3.25E-18	2.32E-17	yes	925	11944	3278	11944
P02765	ENSG00000145192	13	AHSG	protein_coding	ensembl_havana	chr3:186613060-186621318:+	6.698046623	-1.126794974	0.338788165	1.23E-05	3.26E-05	yes	806	16112	5382	16112	6.698046623	-1.658292365	0.370603352	6.44E-08	1.50E-07	yes	474	16112	5595	16112	6.698046623	-1.234325734	0.345135019	7.14E-06	1.42E-05	yes	962	16112	6175	16112	6.698046623	-1.025911771	0.782105068	0.019978588	0.029402728	yes	3695	16112	9500	16112	6.698046623	-1.306816073	0.837627557	0.00606134	0.009207402	yes	2466	16112	9424	16112
Q8N398	ENSG00000145198	14	VWA5B2	protein_coding	ensembl_havana	chr3:184230429-184242329:+	13.38991773	0.430978196	0.308851392	0.042279723	0.069195978	yes	5491	14513	10399	14513	13.38991773	1.12899917	0.34105714	4.68E-05	9.16E-05	yes	1529	14513	7331	14513	13.38991773	0.574134479	0.321579958	0.017987879	0.021826377	yes	4878	14513	10114	14513	13.38991773	1.409416457	0.490721782	0.000268642	0.000663069	yes	1828	14513	7011	14513	13.38991773	1.800023635	0.434777908	9.75E-07	2.35E-06	yes	1016	14513	6203	14513
Q9NX58	ENSG00000145220	14	LYAR	protein_coding	ensembl_havana	chr4:4267701-4290154:-	202.3864388	1.363531791	0.086033765	7.58E-59	4.61E-57	yes	464	7574	406	7574	202.3864388	1.724003657	0.084723049	4.94E-94	6.46E-92	yes	413	7574	355	7574	202.3864388	0.616404621	0.088997499	1.17E-12	8.32E-12	yes	4352	7574	3611	7574	202.3864388	-0.186912129	0.187400414	0.302814712	0.626795275	no	18452	7574	17548	18452	202.3864388	-1.04456929	0.217231523	5.36E-07	3.05E-06	yes	4112	7574	6253	7574
Q9NZF1	ENSG00000145287	10	PLAC8	protein_coding	ensembl_havana	chr4:83090048-83137075:-	8.722491716	-0.117858228	0.275271799	0.536752541	0.48912487	no	15963	15490	15631	15963	8.722491716	-0.617561062	0.375389191	0.025492936	0.038946498	yes	5239	15490	11159	15490	8.722491716	-0.968961228	0.455277746	0.001471376	0.00231286	yes	1749	15490	8293	15490	8.722491716	-0.725971156	0.770490253	0.0750533	0.116411089	no	6692	15490	11516	15490	8.722491716	1.574224174	0.411708877	8.84E-06	1.75E-05	yes	1483	15490	6664	15490
Q96D03	ENSG00000145358	6	DDIT4L	protein_coding	ensembl_havana	chr4:100185870-100190782:-	9.903104048	-0.416581341	0.374017868	0.063154842	0.09689337	yes	5738	15196	10933	15196	9.903104048	0.059096915	0.324702624	0.811588628	0.680019584	no	21747	15196	19418	21747	9.903104048	0.644096794	0.349675621	0.011529041	0.01457569	yes	4029	15196	9737	15196	9.903104048	0.23934681	0.563228485	0.543822673	0.559920192	no	16664	15196	16807	16807	9.903104048	2.440441701	0.463086837	1.59E-10	4.78E-10	yes	423	15196	4767	15196
O75380	ENSG00000145494	12	NDUFS6	protein_coding	ensembl_havana	chr5:1801407-1816048:+	204.70045	0.129491083	0.073893722	0.070443796	0.154810176	no	15326	7526	11908	15326	204.70045	0.246696507	0.07499602	0.000825408	0.004212575	yes	13292	7526	9176	13292	204.70045	0.238857707	0.074774058	0.001175868	0.003576604	yes	12739	7526	8590	12739	204.70045	-1.131796489	0.189222166	5.27E-10	4.09E-09	yes	3007	7526	4272	7526	204.70045	-1.649714622	0.196163294	2.92E-18	3.39E-17	yes	1305	7526	3298	7526
Q9NYY3	ENSG00000145632	15	PLK2	protein_coding	ensembl_havana	chr5:58453982-58460139:-	1680.02086	0.834783687	0.058704459	6.49E-47	2.89E-45	yes	1666	1085	578	1666	1680.02086	0.670636249	0.059150386	2.24E-30	6.76E-29	yes	4593	1085	1836	4593	1680.02086	0.476136186	0.059258278	4.61E-16	9.16E-15	yes	6495	1085	3016	6495	1680.02086	2.783556467	0.063176897	0	0	yes	302	1085	1	1085	1680.02086	2.046843238	0.064573295	2.77E-222	1.08E-219	yes	676	1085	135	1085
P27986	ENSG00000145675	15	PIK3R1	protein_coding	ensembl_havana	chr5:68215756-68301821:+	1086.17874	0.262736406	0.056020402	1.71E-06	9.70E-06	yes	9582	1856	5023	9582	1086.17874	-0.031589517	0.056967701	0.572887418	1	no	24286	1856	20364	24286	1086.17874	0.009660005	0.057087809	0.864444908	1	no	28375	1856	20400	28375	1086.17874	1.812133381	0.066337205	4.38E-166	1.16E-163	yes	938	1856	257	1856	1086.17874	1.803383437	0.063078484	4.13E-181	9.94E-179	yes	1009	1856	206	1856
Q8N7Z5	ENSG00000145700	10	ANKRD31	protein_coding	ensembl_havana	chr5:75068275-75236911:-	35.33961382	0.185373652	0.194436304	0.245805467	0.298063663	no	12547	12498	13647	13647	35.33961382	-0.70726116	0.259274241	0.0013662	0.002389062	yes	4174	12498	8835	12498	35.33961382	-0.05936615	0.210020176	0.748304378	0.687798008	no	21362	12498	19449	21362	35.33961382	1.768169804	0.303103247	1.07E-10	3.79E-10	yes	997	12498	3965	12498	35.33961382	2.487440709	0.252262715	5.19E-26	3.84E-25	yes	398	12498	2431	12498
Q9Y6G5	ENSG00000145781	9	COMMD10	protein_coding	ensembl_havana	chr5:116085016-116412762:+	181.1924876	-0.057718723	0.085090994	0.479757957	0.688604822	no	20209	8001	17868	20209	181.1924876	-0.023202654	0.08659589	0.783135953	1	no	25372	8001	20364	25372	181.1924876	-0.0869767	0.087379061	0.309408695	0.619300908	no	19670	8001	18953	19670	181.1924876	-1.011706833	0.187455846	2.21E-08	1.66E-07	yes	3790	8001	4835	8001	181.1924876	-1.650594118	0.202054064	2.20E-17	2.44E-16	yes	1302	8001	3444	8001
Q6PIJ6	ENSG00000145868	17	FBXO38	protein_coding	ensembl_havana	chr5:148383935-148442836:+	472.4271063	-0.511343381	0.082021709	9.18E-11	7.73E-10	yes	4307	4357	3220	4357	472.4271063	-0.628661932	0.082896102	1.02E-14	1.31E-13	yes	5099	4357	3653	5099	472.4271063	-0.343204585	0.080395344	1.37E-05	0.000106155	yes	9492	4357	6849	9492	472.4271063	1.5464614	0.093499287	1.05E-62	8.52E-61	yes	1422	4357	857	4357	472.4271063	1.145109814	0.092880539	1.92E-35	5.66E-34	yes	3385	4357	1840	4357
Q9NXC2	ENSG00000145990	11	GFOD1	protein_coding	ensembl_havana	chr6:13357830-13487662:-	163.496008	1.638259612	0.103973966	1.39E-58	8.27E-57	yes	285	8364	408	8364	163.496008	1.873647002	0.10263907	7.97E-77	6.08E-75	yes	300	8364	499	8364	163.496008	0.942304435	0.10891996	2.15E-19	3.67E-18	yes	1880	8364	2493	8364	163.496008	1.126080307	0.178033346	6.18E-11	4.93E-10	yes	3037	8364	3994	8364	163.496008	1.843765996	0.140338953	7.49E-41	1.64E-39	yes	940	8364	1593	8364
Q6Q6R5	ENSG00000146215	13	CRIP3	protein_coding	ensembl_havana	chr6:43299710-43308797:-	9.751806542	-1.224617548	0.280876945	1.33E-07	5.30E-07	yes	643	15242	4278	15242	9.751806542	-1.228267943	0.272986661	2.90E-07	7.00E-07	yes	1198	15242	5916	15242	9.751806542	-0.699324722	0.244459172	0.000659968	0.001039641	yes	3443	15242	7814	15242	9.751806542	-2.879683456	1.453317719	6.74E-05	0.000154355	yes	275	15242	6471	15242	9.751806542	-1.554326691	0.762769447	0.001285241	0.002076066	yes	1539	15242	8494	15242
O00221	ENSG00000146232	17	NFKBIE	protein_coding	ensembl_havana	chr6:44258166-44265788:-	763.8488476	-0.853408985	0.075132287	5.79E-31	1.36E-29	yes	1599	2777	1027	2777	763.8488476	-0.230745347	0.070254	0.000858779	0.004050419	yes	13851	2777	9147	13851	763.8488476	0.001391006	0.068521287	0.983595347	1	no	34811	2777	20400	34811	763.8488476	3.038724678	0.071730065	0	0	yes	236	2777	1	2777	763.8488476	2.373062031	0.07346595	1.51E-231	6.31E-229	yes	455	2777	120	2777
Q8WWQ0	ENSG00000146247	14	PHIP	protein_coding	ensembl_havana	chr6:78934419-79078254:-	871.8311463	0.089477891	0.075206419	0.219085402	0.367351756	no	17734	2415	14386	17734	871.8311463	-0.223347685	0.078044488	0.003546775	0.018099341	yes	14100	2415	10313	14100	871.8311463	0.103939916	0.076529968	0.167546669	0.445524178	no	18713	2415	16899	18713	871.8311463	1.832872759	0.086900143	1.42E-100	1.87E-98	yes	910	2415	483	2415	871.8311463	2.25436124	0.081052058	1.55E-172	3.78E-170	yes	523	2415	222	2415
